"onset","duration","trial","sync_side","key","dominant","subject","session"
403.234317321796,"0.5829207692295313","keypress","right","left","asynchronous",1,1
407.746768893674,"4.512451571878046","keypress","right","right","synchronous",1,1
410.19406036986,"2.447291476186365","keypress","right","left","asynchronous",1,1
410.779027382843,"0.5849670129828155","keypress","right","right","synchronous",1,1
410.993253971916,"0.2142265890724957","keypress","right","left","asynchronous",1,1
411.207473191898,"0.21421921998262405","keypress","right","right","synchronous",1,1
411.685318202712,"0.47784501081332564","keypress","right","left","asynchronous",1,1
415.513333922718,"3.8280157200060785","keypress","right","right","synchronous",1,1
415.937869399786,"0.4245354770682752","keypress","right","left","asynchronous",1,1
415.991370817646,"0.053501417860388756","keypress","right","right","synchronous",1,1
420.709594452754,"4.718223635107279","keypress","right","left","asynchronous",1,1
422.672478675842,"1.962884223088622","keypress","right","right","synchronous",1,1
423.841370626818,"1.1688919509761035","keypress","right","left","asynchronous",1,1
424.799797184765,"0.9584265579469502","keypress","right","right","synchronous",1,1
425.118269342929,"0.31847215816378593","keypress","right","left","asynchronous",1,1
425.384267410729,"0.2659980677999556","keypress","right","right","synchronous",1,1
426.288036320824,"0.9037689100950956","keypress","right","left","asynchronous",1,1
426.501442904584,"0.2134065837599337","keypress","right","right","synchronous",1,1
426.820866919588,"0.3194240150041878","keypress","right","left","asynchronous",1,1
427.24841045076,"0.4275435311719775","keypress","right","right","synchronous",1,1
429.160055906978,"1.9116454562172294","keypress","right","left","asynchronous",1,1
431.499149736017,"2.3390938290394843","keypress","right","right","synchronous",1,1
437.55346571561,"6.054315979592502","keypress","right","left","asynchronous",1,1
439.992155670654,"2.438689955044538","keypress","right","right","synchronous",1,1
440.152333087754,"0.16017741709947586","keypress","right","left","asynchronous",1,1
440.365505340975,"0.21317225322127342","keypress","right","right","synchronous",1,1
441.002421539742,"0.6369161987677217","keypress","right","left","asynchronous",1,1
441.215250001755,"0.21282846201211214","keypress","right","right","synchronous",1,1
442.009620434605,"0.7943704328499734","keypress","right","left","asynchronous",1,1
445.885518410709,"3.87589797610417","keypress","right","right","synchronous",1,1
